,Contracts_id,Label,New_cardsex,New_amount,New_paiduprmb,Appointcnt,A,B,C,D,E,F,G,H,I,Clascnt,Diffday,Attended,Class_fee,predictLabels
415,416,2,2,4.0,38800.0,0,0,0,0,0,0,0,0,0,0,162,41,126,0.0041,1
610,611,2,0,7.0,58000.0,0,0,0,0,0,0,0,0,0,0,476,46,426,0.0082,1
646,647,2,0,6.0,42582.0,1,0,0,0,186,0,0,0,0,0,558,31,543,0.0131,1
722,723,2,0,6.0,52007.0,0,0,0,0,0,0,0,0,0,0,80,44,72,0.0015,1
783,784,2,1,4.0,33800.0,2,0,0,0,0,0,0,0,0,0,226,22,202,0.0066,1
790,791,2,0,5.0,42800.0,3,0,0,0,0,0,0,0,0,0,654,24,612,0.0152,1
817,818,2,1,5.0,35800.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,1
938,939,2,0,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,6,1,5,0.0001,1
999,1000,2,0,7.0,34800.0,0,0,0,0,0,0,0,0,0,0,14,80,13,0.0004,1
1030,1031,2,0,4.0,31400.0,0,0,0,0,0,0,0,0,0,0,415,41,389,0.0132,1
1051,1052,2,1,8.0,58200.0,0,0,0,0,0,0,0,0,0,0,118,61,104,0.002,1
1095,1096,2,1,3.0,31800.0,0,0,0,0,0,0,0,0,0,0,142,34,134,0.0044,1
1096,1097,2,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,84,37,82,0.0,1
1211,1212,2,1,4.0,26000.0,0,0,0,0,0,0,0,0,0,0,4,46,2,0.0001,1
1219,1220,2,2,4.0,41200.0,0,0,0,0,0,0,0,0,0,0,2188,41,1866,0.0531,1
1414,1415,2,0,5.0,37800.0,0,0,0,0,0,0,0,0,0,0,69,39,49,0.0018,1
1432,1433,2,0,5.0,45000.0,0,0,0,0,0,0,0,0,0,0,553,36,528,0.0122,1
1447,1448,2,0,4.0,41300.0,1,0,0,0,0,0,0,0,0,0,92,31,82,0.0022,1
1481,1482,2,0,5.0,39800.0,2,0,0,0,0,0,0,0,0,1832,4580,32,2960,0.115,1
1483,1484,2,2,4.0,35400.0,3,0,0,0,0,0,0,0,0,0,744,27,738,0.021,1
